idx,날짜,기준금리(%)1,국내총생산(시장가격 GDP)(십억원)1,국내총소득(GDI)1,국민총소득(GNI)1,소비자물가지수(2015 = 100),경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원)8,KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(전국),총 인구(명)1,가계대출(조원)1,평균전세가율(전국)1,평균아파트매매가격(전국)
125,2012년 5월,3.25,377917.1,357987.7,362793.9,96.567,0.6,4.2,31.8,35.1,1118.61,1886.35,495.47,59882,50801531,875,62.99281792,270.2
126,2012년 6월,3.25,377917.1,357987.7,362793.9,96.74,0.6,3.7,31.8,35.1,1155.45,1848.6,474.83,61420,50819380,875,63.09687758,257.1
127,2012년 7월,3.25,377917.1,357987.7,362793.9,96.603,0.6,3.5,29.7,34.1,1132.31,1826.75,474.78,51515,50832898,875,63.24930301,251.1
128,2012년 8월,3,379552.7,363294.2,366827.3,96.385,0.4,3.1,29.7,34.1,1147.45,1918.91,480.6,54893,50851082,885.7,63.33981783,254.7
129,2012년 9월,3,379552.7,363294.2,366827.3,96.831,0.4,3.2,29.7,34.1,1145.85,1961.29,485.39,50098,50871606,885.7,63.52717961,270.4
130,2012년 10월,3,379552.7,363294.2,366827.3,97.523,0.4,3.1,29.1,34.2,1123.35,1942.19,518.73,44339,50891223,885.7,63.90376304,277.6
131,2012년 11월,2.75,381467.5,363255.6,366536.7,97.341,0.5,3,29.1,34.2,1125.9,1904.7,523.96,66258,50912264,905.9,64.32268993,274.1
132,2012년 12월,2.75,381467.5,363255.6,366536.7,96.995,0.5,2.9,29.1,34.2,1135.55,1973.84,503.9,70833,50930805,905.9,64.68642339,271.1
133,2013년 1월,2.75,381467.5,363255.6,366536.7,97.168,0.5,2.8,30.1,34.6,1154.27,1986.1,488.59,103790,50948272,905.9,65.0067314,274.4
134,2013년 2월,2.75,384831,367763.8,370296.2,97.751,0.9,2.8,30.1,34.6,1165.51,1979.85,508.58,39477,50965180,909,65.37509028,278
135,2013년 3월,2.75,384831,367763.8,370296.2,98.078,0.9,2.9,30.1,34.6,1143.36,1990.24,515.55,48592,50991003,909,65.70192818,284.5
136,2013년 4월,2.75,384831,367763.8,370296.2,97.987,0.9,3.4,29,35.1,1131.69,1938.88,547.08,62934,51003843,909,66.0657087,288.8
137,2013년 5월,2.75,389358.3,374293.6,376886.6,97.851,1.2,3.9,29,35.1,1124.78,1974.45,551.68,77082,51018468,926.3,66.42027826,283.6
138,2013년 6월,2.5,389358.3,374293.6,376886.6,97.851,1.2,3.5,29,35.1,1106.93,1884.41,571.9,89599,51034494,926.3,66.53378596,273.3
139,2013년 7월,2.5,389358.3,374293.6,376886.6,97.732,1.2,3.2,29.6,34.7,1087.52,1871.77,530.76,119495,51047880,926.3,66.68215657,272.3
140,2013년 8월,2.5,392697.2,379137.9,381144.4,97.942,0.9,3,29.6,34.7,1076.97,1896.96,534.23,55342,51064841,938.9,66.96885308,295.1
141,2013년 9월,2.5,392697.2,379137.9,381144.4,98.288,0.9,3.1,29.6,34.7,1065.35,1984.39,540.91,53390,51081507,938.9,67.42466655,305.5
142,2013년 10월,2.5,392697.2,379137.9,381144.4,98.479,0.9,3.1,30.2,34.8,1086.68,2029.68,527.96,55564,51098531,938.9,67.82491391,298
143,2013년 11월,2.5,395787.2,380799.9,383298.4,98.179,0.8,3,30.2,34.8,1102.2,2009.92,530.55,89955,51115702,960.6,68.17274876,294.6
144,2013년 12월,2.5,395787.2,380799.9,383298.4,98.16,0.8,2.7,30.2,34.8,1121.83,1988.33,513.81,85975,51127984,960.6,68.46006804,308.7
145,2014년 1월,2.5,395787.2,380799.9,383298.4,98.279,0.8,2.7,29.6,34.6,1110.67,1948.22,496.17,99060,51141463,960.6,68.70328803,316.9
146,2014년 2월,2.5,399560.7,385013.6,384827.8,98.807,1,2.6,29.6,34.6,1135.21,1937.73,512.44,73570,51156168,965.3,69.05989325,314.9
147,2014년 3월,2.5,399560.7,385013.6,384827.8,99.071,1,3,29.6,34.6,1127.23,1952.43,521.33,86667,51171176,965.3,69.32865038,299.9
148,2014년 4월,2.5,399560.7,385013.6,384827.8,99.253,1,3.4,29.5,35.1,1116.98,1991.19,541.28,90791,51185882,965.3,69.55751607,291.3
149,2014년 5월,2.5,402957.7,387117,389621.2,99.317,0.9,4.5,29.5,35.1,1087.35,1994.13,559.97,90706,51202130,978.4,69.64861836,293
150,2014년 6월,2.5,402957.7,387117,389621.2,99.481,0.9,3.9,29.5,35.1,1066.8,1995.08,551,76264,51218424,978.4,69.6895689,299.6
