idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(강원),총 인구(명),가계대출(조원),평균전세가율(강원),평균아파트매매가격(강원)
111,2011년 3월,2.75,367040.1,347744.6,348249.7,93.707,0.9,4.5,33.4,34.3,1163.11,1924.71,517.58,2472,50555262,806.4,,135.8
112,2011년 4월,3,367040.1,347744.6,348249.7,94.072,0.5,4.3,33.4,34.3,1212.33,2002.5,510.59,2592,50575130,806.4,,137.9
113,2011년 5월,3,368841.5,352078.6,354035.9,94.163,0.5,3.7,33.9,34.3,1207.3,2091.61,528.44,2629,50594424,826.9,,138.6
114,2011년 6월,3,368841.5,352078.6,354035.9,94.345,0.5,3.2,33.9,34.3,1179.92,2002.87,494.71,2399,50613213,826.9,,138.4
115,2011년 7월,3.25,368841.5,352078.6,354035.9,94.527,0.5,3.3,33.9,34.8,1167.01,2002.67,469.03,2314,50627347,826.9,,145.9
116,2011년 8월,3.25,370782.8,353512.7,356925.9,94.982,0.5,3.3,34.7,34.8,1123.45,2153.13,511.55,2564,50641565,839.7,,150.3
117,2011년 9월,3.25,370782.8,353512.7,356925.9,95.62,0.5,3,34.7,34.8,1126.2,2121.87,488.16,2388,50662739,839.7,,152.6
118,2011년 10월,3.25,370782.8,353512.7,356925.9,95.529,0.5,3,34.7,35.1,1147.55,2074.64,461.47,2355,50681829,839.7,,147
119,2011년 11월,3.25,372534,352132.7,355061.9,95.347,0.5,2.9,31.3,35.1,1120.07,2150.06,471.45,2544,50699478,861.4,,150.3
120,2011년 12월,3.25,372534,352132.7,355061.9,95.438,0.5,2.9,31.3,35.1,1118.14,1869.41,497.85,3096,50717719,861.4,,147.8
121,2012년 1월,3.25,372534,352132.7,355061.9,95.802,0.9,3,31.3,34.7,1122.45,1790.95,501.07,1650,50734284,861.4,69.95975058,152
122,2012년 2월,3.25,375799.3,355987.3,359499.5,96.184,0.9,3.5,32.9,34.7,1086.84,1825.88,516.72,2199,50750837,862.9,69.99079716,153.8
123,2012년 3월,3.25,375799.3,355987.3,359499.5,96.549,0.9,4.2,32.9,34.7,1083.54,1858.8,532.84,2062,50767313,862.9,70.29523869,148.6
124,2012년 4월,3.25,375799.3,355987.3,359499.5,96.576,0.6,3.7,32.9,35.1,1081.27,1863.23,532.37,1837,50783029,862.9,70.13110183,148.9
125,2012년 5월,3.25,377917.1,357987.7,362793.9,96.567,0.6,3.5,33.8,35.1,1059.5,1891.01,495.47,3292,50801531,875,70.21359606,152
126,2012년 6월,3.25,377917.1,357987.7,362793.9,96.74,0.6,3.1,33.8,35.1,1073.17,2003.23,474.83,1567,50819380,875,70.21945491,152.2
